광양,초남,6.0
초남,황길,6.5
태금,황길,6.1
장유,진례,9.6
부산신항,장유,11.7
부산신항,북철송장,5.8
남철송장,부산신항,7.7
신광양항,초남,6.2
범일,부산진,2.1
범일,부전,2.5
부산진,우암,2.4
신선대,우암,3.7
부조,효자,5.3
괴동,효자,5.6
가야,부전,2.2
망양,용암,4.3
용암,울산신항,5.5
망양,울산기지,2.2
거제,교대,0.7
교대,동래,1.2
동래,안락,0.9
센텀,재송,1.0
벡스코,센텀,1.4
남창,온산,8.6
울산,장생포,3.6
송정,오시리아,1.1
기장,오시리아,5.7
기장,일광,3.0
일광,좌천,5.1
월내,좌천,3.5
서생,월내,2.6
남창,서생,8.4
남창,망양,4.4
덕하,망양,4.5
개운포,덕하,2.4
개운포,태화강,4.9
북울산,태화강,9.7
북울산,외동,11.7
경주,외동,20.5
경주,모량,4.4
모량,서경주,8.2
서경주,안강,10.8
부조,안강,5.8
부조,포항,10.2
월포,포항,15.3
월포,장사,9.1
강구,장사,7.6
강구,영덕,6.6
영일만항,포항,11.2
도담,청량리,148.5
단양,도담,6.0
단양,풍기,21.4
영주,풍기,12.4
영주,옹천,17.8
안동,옹천,13.3
망호,안동,12.8
망호,업동,8.9
업동,의성,4.3
비봉,의성,6.3
비봉,탑리,5.4
우보,탑리,8.6
우보,화본,8.0
봉림,화본,5.4
갑현,봉림,4.8
갑현,신녕,5.0
신녕,화산,6.4
북영천,화산,8.1
북영천,영천,2.5
아화,영천,15.1
모량,아화,11.2
광운대,망 우,4.9
중랑,회기,1.8
상봉,중랑,0.8
망우,상봉,0.6
망우,양원,1.7
구리,양원,3.2
구리,도농,1.7
도농,양정,3.7
덕소,양정,2.3
덕소,도심,1.5
도심,팔당,4.2
운길산,팔당,6.4
양수,운길산,1.9
신원,양수,4.7
국수,신원,2.9
국수,아신,4.1
아신,오빈,2.8
양평,오빈,2.2
양평,원덕,5.8
용문,원덕,4.8
용문,지평,3.6
석불,지평,2.9
석불,일신,3.5
매곡,일신,3.8
매곡,양동,3.0
삼산,양동,3.9
삼산,서원주,7.2
서원주,원주,8.3
운학,원주,15.7
봉양,운학,14.8
봉양,제천조차장,4.5
제천,제천조차장,2.4
고명,제천,3.9
고명,삼곡,5.2
도담,삼곡,7.3
제 천,체천조,2.3
영동선,중앙선,0.7
북영천,북영천분기,1.4
용문,용문기지,2.7
입석리,제천,13.7
쌍룡,입석리,4.6
쌍룡,연당,7.6
연당,청령포,5.7
영월,청령포,3.1
영월,탄부,2.7
연하,탄부,4.9
석항,연하,6.7
석항,예미,3.1
예미,조동,6.6
자미원,조동,4.4
민둥산,자미원,6.7
민둥산,사북,6.0
고한,사북,4.6
고한,추전,9.0
추전,태백,6.0
문곡,태백,3.0
문곡,태백선분기,4.5
백산,태백선분기,1.2
예미,함백,5.2
조동,함백,4.4
동해,묵호항,5.1
묵호,묵호항,0.8
영동선,태백선,1.3
민둥산,별어곡,6.4
별어곡,선평,7.3
선평,정선,8.9
나전,정선,10.0
나전,아우라지,6.1
북영주,영주,1.8
문단,북영주,7.2
문단,봉화,5.7
거촌,봉화,5.5
거촌,봉성,5.5
법전,봉성,7.0
법전,춘양,5.2
녹동,춘양,4.8
녹동,임기,4.9
임기,현동,5.1
분천,현동,6.6
분천,승부,9.9
석포,승부,7.6
동점,석포,6.2
동점,철암,4.0
백산,철암,4.3
동백산,백산,1.8
동백산,솔안,10.0
도계,솔안,8.2
고사리,도계,4.7
고사리,하고사리,1.7
마차리,하고사리,3.5
마차리,신기,5.4
상정,신기,5.2
미로,상정,5.0
도경리,미로,3.3
도경리,동해,7.5
동해,묵호,6.0
망상,묵호,6.0
망상,옥계,5.5
옥계,정동진,11.4
안인,정동진,7.1
안인,청량신호소,5.3
동해,삼화,6.4
동해,삼척,12.9
이매,판교,1.5
삼동,이매,6.9
경기광주,삼동,4.9
경기광주,초월,5.0
곤지암,초월,4.9
곤지암,신둔도예촌,6.9
신둔도예촌,이천,7.4
부발,이천,4.49
부발,세종대왕릉,7.4
세종대왕릉,여주,5.4
강릉,청량,4.2
남강릉,청량,3.8
남강릉,대관령,19.6
대관령,진부(오대산),12.7
진부(오대산),평창,16.3
둔내,평창,20.0
둔내,횡성,20.6
만종,횡성,18.3
만종,서원주,5.4
강릉차량기지,본선,0.92
강릉분,남강릉,2.5
강릉분,청량B,1.1
청량B,청량C,1.9
안인,청량C,2.4
부발,아미,2.5
가남,아미,6.5
가남,감곡장호원,12.2
감곡장호원,앙성온천,14.6
금가,앙성온천,11.8
금가,충주,8.7
